ID,ID_HECHO,FECHA,N_VICTIMAS
236,2017-0113,2017-09-11,1
237,2017-0114,2017-09-15,1
238,2017-0115,2017-09-19,1
239,2017-0116,2017-09-20,1
240,2017-0118,2017-09-22,1
241,2017-0120,2017-10-02,1
242,2017-0123,2017-10-10,1
243,2017-0124,2017-10-12,1
244,2017-0125,2017-10-13,1
245,2017-0126,2017-10-14,2
246,2017-0127,2017-10-16,1
247,2017-0128,2017-10-17,1
248,2017-0129,2017-10-26,1
249,2017-0130,2017-10-27,1
250,2017-0132,2017-10-30,1
251,2017-0134,2017-11-06,1
252,2017-0135,2017-11-07,1
253,2017-0136,2017-11-16,1
254,2017-0137,2017-11-17,1
255,2017-0138,2017-11-19,1
256,2017-0139,2017-11-19,1
257,2017-0140,2017-11-19,1
258,2017-0141,2017-11-23,1
259,2017-0143,2017-11-25,1
260,2017-0144,2017-11-26,1
261,2017-0145,2017-11-26,1
262,2017-0147,2017-11-28,1
263,2017-0148,2017-11-29,1
264,2017-0149,2017-11-30,1
265,2017-0150,2017-12-04,1
266,2017-0151,2017-12-04,1
267,2017-0152,2017-12-06,1
268,2017-0153,2017-12-11,2
269,2017-0154,2017-12-11,1
270,2017-0155,2017-12-12,1
271,2017-0157,2017-12-17,1
272,2017-0158,2017-12-18,1
273,2017-0159,2017-12-20,1
274,2017-0160,2017-12-22,1
275,2017-0161,2017-12-26,1
276,2018-0001,2018-01-01,1
277,2018-0002,2018-01-03,1
278,2018-0003,2018-01-05,1
279,2018-0004,2018-01-09,1
280,2018-0005,2018-01-09,1
281,2018-0006,2018-01-10,1
282,2018-0007,2018-01-11,1
283,2018-0008,2018-01-12,1
284,2018-0009,2018-01-14,1
285,2018-0010,2018-01-18,1
286,2018-0011,2018-01-19,1
287,2018-0012,2018-01-26,1
288,2018-0013,2018-01-28,1
289,2018-0014,2018-01-31,1
290,2018-0015,2018-02-06,2
291,2018-0016,2018-02-15,1
292,2018-0017,2018-02-17,1
293,2018-0018,2018-02-17,1
294,2018-0019,2018-02-17,1
295,2018-0020,2018-02-19,1
296,2018-0021,2018-02-22,1
297,2018-0022,2018-02-24,1
