ID,ID_HECHO,FECHA,CRUCE,SEMAFORO
159,2017-0021,2017-02-18,LIBERTAD,False
160,2017-0024,2017-02-23,,False
161,2017-0025,2017-02-24,RIVERA INDARTE AV.,False
162,2017-0026,2017-02-26,FOURNIER,False
163,2017-0027,2017-02-26,,False
164,2017-0028,2017-02-28,FRAGATA PRES. SARMIENTO,False
165,2017-0029,2017-03-07,TANDIL,False
166,2017-0030,2017-03-07,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,False
167,2017-0031,2017-03-11,PAVON,False
168,2017-0032,2017-03-12,LOS CEDROS,False
169,2017-0033,2017-03-12,"GUTIERREZ, RICARDO",False
170,2017-0034,2017-03-13,,False
171,2017-0035,2017-03-23,"VILLAFLOR, AZUCENA",False
172,2017-0036,2017-03-29,CAMPANA,False
173,2017-0037,2017-03-31,"CEVALLOS, VIRREY",False
174,2017-0038,2017-04-01,LAUTARO,False
175,2017-0040,2017-04-03,,False
176,2017-0041,2017-04-03,,False
177,2017-0042,2017-04-10,,False
178,2017-0045,2017-04-14,,False
179,2017-0047,2017-04-23,CORVALAN,True
180,2017-0049,2017-04-27,VARELA AV.,False
181,2017-0050,2017-04-28,,False
182,2017-0051,2017-05-01,,False
183,2017-0052,2017-05-05,GOLETA SANTA CRUZ,True
184,2017-0053,2017-05-05,VILLARINO,True
185,2017-0054,2017-05-07,"MORAN, PEDRO",False
186,2017-0055,2017-05-09,,False
187,2017-0058,2017-05-09,LIBERTAD,False
188,2017-0059,2017-05-11,LIMA,False
189,2017-0060,2017-05-13,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",False
190,2017-0061,2017-05-15,CALLAO AV.,False
191,2017-0062,2017-05-15,SAN BLAS,False
192,2017-0063,2017-05-17,9 DE JULIO AV.,False
193,2017-0064,2017-05-20,"PERON, JUAN DOMINGO, TTE. GENERAL",False
194,2017-0065,2017-05-22,HERRERA,False
195,2017-0066,2017-05-22,FRAGATA PRES. SARMIENTO,False
196,2017-0067,2017-05-23,"MORENO, JOSE MARIA AV.",False
197,2017-0068,2017-05-27,,False
198,2017-0069,2017-05-24,"SCHMIDL, ULRICO",False
199,2017-0070,2017-05-30,,False
200,2017-0072,2017-06-03,VALLEJOS,False
201,2017-0073,2017-06-04,ECUADOR,False
202,2017-0074,2017-06-04,,False
203,2017-0075,2017-06-12,9 DE JULIO AV.,False
204,2017-0076,2017-06-13,CALLE 12 (NO OFICIAL),False
205,2017-0077,2017-06-17,,False
206,2017-0079,2017-06-19,DEAN FUNES,False
207,2017-0080,2017-06-22,ESCALADA AV.,False
208,2017-0082,2017-06-25,BRASIL,False
209,2017-0083,2017-07-04,GUARDIA NACIONAL,False
210,2017-0084,2017-07-05,RODRIGUEZ PE?A,False
211,2017-0085,2017-07-07,"GARCIA, MARTIN AV.",False
212,2017-0086,2017-07-09,MURGUIONDO,False
213,2017-0087,2017-07-10,,False
214,2017-0088,2017-07-10,BRASIL AV.,False
215,2017-0089,2017-07-13,,False
216,2017-0090,2017-07-15,"PAZ, GRAL. AV.",False
217,2017-0091,2017-07-15,"PAZ, GRAL. AV.",False
218,2017-0092,2017-07-24,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,False
219,2017-0093,2017-07-25,PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,False
220,2017-0094,2017-07-27,,False
221,2017-0095,2017-08-06,"SALGUERO, JERONIMO",False
222,2017-0096,2017-08-07,NU?EZ,False
223,2017-0098,2017-08-08,,False
224,2017-0099,2017-08-17,,False
225,2017-0100,2017-08-21,,False
226,2017-0101,2017-08-23,ZAPATA,False
227,2017-0102,2017-08-24,ZAVALETA,False
228,2017-0104,2017-08-25,ESTADOS UNIDOS,False
229,2017-0106,2017-08-31,GUEMES,False
230,2017-0107,2017-09-01,JARAMILLO,False
231,2017-0108,2017-09-02,MACHAIN,False
232,2017-0109,2017-09-04,PORTELA,False
233,2017-0110,2017-09-06,"ALEM, LEANDRO N. AV.",False
234,2017-0111,2017-09-07,PIROVANO,False
235,2017-0112,2017-09-10,,False
236,2017-0113,2017-09-11,MAIPU,False
237,2017-0114,2017-09-15,DEL LIBERTADOR AV.,False
238,2017-0115,2017-09-19,TREINTA Y TRES ORIENTALES,False
239,2017-0116,2017-09-20,,False
240,2017-0118,2017-09-22,"CRUZ, OSVALDO AV.",False
241,2017-0120,2017-10-02,ESCALADA AV.,False
242,2017-0123,2017-10-10,ARGENTINA AV.,False
243,2017-0124,2017-10-12,,False
244,2017-0125,2017-10-13,LARRAYA,False
245,2017-0126,2017-10-14,CA?ADA DE GOMEZ,False
246,2017-0127,2017-10-16,CORDOBA AV.,False
247,2017-0128,2017-10-17,,False
248,2017-0129,2017-10-26,AUTOPISTA 25 DE MAYO,False
249,2017-0130,2017-10-27,SAN MARTIN AV.,False
250,2017-0132,2017-10-30,"ROCA, CNEL. AV.",False
