ID,ID_HECHO,FECHA,COMUNA
254,2017-0137,2017-11-17,11
255,2017-0138,2017-11-19,7
256,2017-0139,2017-11-19,8
257,2017-0140,2017-11-19,4
258,2017-0141,2017-11-23,6
259,2017-0143,2017-11-25,11
260,2017-0144,2017-11-26,8
261,2017-0145,2017-11-26,5
262,2017-0147,2017-11-28,9
263,2017-0148,2017-11-29,3
264,2017-0149,2017-11-30,1
265,2017-0150,2017-12-04,9
266,2017-0151,2017-12-04,4
267,2017-0152,2017-12-06,4
268,2017-0153,2017-12-11,6
269,2017-0154,2017-12-11,4
270,2017-0155,2017-12-12,7
271,2017-0157,2017-12-17,9
272,2017-0158,2017-12-18,11
273,2017-0159,2017-12-20,1
274,2017-0160,2017-12-22,7
275,2017-0161,2017-12-26,9
276,2018-0001,2018-01-01,3
277,2018-0002,2018-01-03,1
278,2018-0003,2018-01-05,15
279,2018-0004,2018-01-09,13
280,2018-0005,2018-01-09,1
281,2018-0006,2018-01-10,6
282,2018-0007,2018-01-11,9
283,2018-0008,2018-01-12,1
284,2018-0009,2018-01-14,4
285,2018-0010,2018-01-18,10
286,2018-0011,2018-01-19,2
287,2018-0012,2018-01-26,8
288,2018-0013,2018-01-28,12
289,2018-0014,2018-01-31,7
290,2018-0015,2018-02-06,4
291,2018-0016,2018-02-15,1
292,2018-0017,2018-02-17,7
293,2018-0018,2018-02-17,4
294,2018-0019,2018-02-17,2
295,2018-0020,2018-02-19,8
296,2018-0021,2018-02-22,4
297,2018-0022,2018-02-24,4
298,2018-0023,2018-02-24,6
299,2018-0024,2018-02-28,15
300,2018-0025,2018-03-04,7
301,2018-0026,2018-03-09,4
302,2018-0027,2018-03-11,5
303,2018-0028,2018-03-13,9
304,2018-0029,2018-03-15,11
305,2018-0030,2018-03-20,15
306,2018-0031,2018-03-28,11
307,2018-0032,2018-04-02,13
308,2018-0033,2018-04-07,10
309,2018-0034,2018-04-11,2
310,2018-0035,2018-04-12,7
311,2018-0036,2018-04-13,15
312,2018-0037,2018-04-18,2
313,2018-0038,2018-04-20,1
314,2018-0039,2018-04-21,14
315,2018-0040,2018-04-27,13
316,2018-0041,2018-04-27,4
317,2018-0042,2018-04-27,4
318,2018-0043,2018-04-28,11
319,2018-0044,2018-04-28,3
320,2018-0045,2018-04-30,13
321,2018-0046,2018-05-02,9
322,2018-0047,2018-05-08,15
323,2018-0048,2018-05-09,7
324,2018-0049,2018-05-11,13
325,2018-0050,2018-05-14,13
326,2018-0051,2018-05-15,4
327,2018-0052,2018-05-18,15
328,2018-0053,2018-05-20,3
329,2018-0054,2018-05-22,12
330,2018-0055,2018-05-29,3
331,2018-0056,2018-06-02,9
332,2018-0057,2018-06-03,3
333,2018-0058,2018-06-03,15
334,2018-0059,2018-06-08,5
335,2018-0060,2018-06-08,1
336,2018-0061,2018-06-10,3
337,2018-0062,2018-06-14,6
338,2018-0063,2018-06-16,1
339,2018-0064,2018-06-25,7
340,2018-0065,2018-06-26,1
341,2018-0066,2018-06-28,15
342,2018-0067,2018-06-29,4
343,2018-0068,2018-07-01,7
344,2018-0069,2018-07-04,2
345,2018-0070,2018-07-07,3
346,2018-0071,2018-07-10,1
347,2018-0072,2018-07-11,8
348,2018-0073,2018-07-11,4
349,2018-0074,2018-07-14,7
350,2018-0075,2018-07-15,14
351,2018-0076,2018-07-16,9
352,2018-0077,2018-07-16,3
353,2018-0078,2018-07-21,2
354,2018-0079,2018-07-23,9
355,2018-0080,2018-07-25,9
356,2018-0081,2018-07-29,7
357,2018-0082,2018-08-01,9
358,2018-0083,2018-08-02,8
359,2018-0084,2018-08-03,1
360,2018-0085,2018-08-03,3
361,2018-0086,2018-08-10,9
362,2018-0087,2018-08-15,5
363,2018-0088,2018-08-17,12
364,2018-0089,2018-08-17,4
365,2018-0090,2018-08-18,8
366,2018-0091,2018-08-19,9
367,2018-0092,2018-08-20,14
368,2018-0093,2018-08-20,1
369,2018-0094,2018-08-23,14
370,2018-0095,2018-08-26,9
371,2018-0096,2018-08-31,8
372,2018-0097,2018-09-02,8
373,2018-0098,2018-09-09,8
374,2018-0099,2018-09-12,7
375,2018-0100,2018-09-20,1
376,2018-0101,2018-09-21,12
377,2018-0102,2018-09-21,4
378,2018-0103,2018-09-27,7
379,2018-0104,2018-10-01,4
380,2018-0105,2018-10-03,7
381,2018-0106,2018-10-04,13
382,2018-0107,2018-10-06,3
383,2018-0108,2018-10-09,1
384,2018-0109,2018-10-10,1
385,2018-0110,2018-10-13,15
386,2018-0111,2018-10-19,9
387,2018-0112,2018-10-24,15
388,2018-0113,2018-10-25,11
389,2018-0114,2018-10-30,1
390,2018-0115,2018-10-31,9
391,2018-0116,2018-11-01,8
392,2018-0117,2018-11-04,9
393,2018-0118,2018-11-05,3
394,2018-0119,2018-11-05,8
395,2018-0120,2018-11-09,12
396,2018-0121,2018-11-09,10
397,2018-0122,2018-11-12,8
398,2018-0123,2018-11-12,9
399,2018-0124,2018-11-15,9
400,2018-0125,2018-11-16,4
401,2018-0126,2018-11-18,9
402,2018-0127,2018-11-19,12
403,2018-0128,2018-11-25,9
404,2018-0129,2018-11-28,15
405,2018-0130,2018-12-03,10
406,2018-0131,2018-12-07,1
407,2018-0132,2018-12-12,2
408,2018-0133,2018-12-12,7
409,2018-0134,2018-12-12,7
410,2018-0135,2018-12-18,1
411,2018-0136,2018-12-18,7
412,2018-0137,2018-12-18,1
413,2018-0138,2018-12-21,10
414,2018-0139,2018-12-22,7
415,2018-0140,2018-12-22,1
416,2018-0141,2018-12-22,5
417,2018-0142,2018-12-25,12
418,2018-0143,2018-12-29,10
419,2019-0001,2019-01-08,2
420,2019-0002,2019-01-09,7
421,2019-0003,2019-01-12,15
422,2019-0004,2019-01-14,9
423,2019-0005,2019-01-19,10
424,2019-0006,2019-01-23,14
425,2019-0007,2019-01-26,5
426,2019-0008,2019-01-30,8
427,2019-0009,2019-01-31,1
428,2019-0010,2019-02-02,14
429,2019-0011,2019-02-10,9
430,2019-0012,2019-02-17,8
431,2019-0013,2019-02-20,7
432,2019-0014,2019-02-20,11
433,2019-0015,2019-02-23,11
434,2019-0016,2019-02-24,4
435,2019-0017,2019-03-03,3
436,2019-0018,2019-03-03,13
437,2019-0019,2019-03-06,13
438,2019-0020,2019-03-07,5
439,2019-0021,2019-03-15,7
440,2019-0022,2019-03-15,1
441,2019-0023,2019-03-16,9
442,2019-0024,2019-03-19,1
443,2019-0025,2019-03-22,5
444,2019-0026,2019-03-28,8
445,2019-0027,2019-03-28,2
446,2019-0028,2019-04-06,11
447,2019-0029,2019-04-07,8
448,2019-0030,2019-04-09,7
449,2019-0031,2019-04-12,1
450,2019-0032,2019-04-16,11
451,2019-0033,2019-04-18,1
452,2019-0034,2019-04-21,7
453,2019-0035,2019-04-23,1
454,2019-0036,2019-04-26,6
455,2019-0037,2019-05-01,3
456,2019-0038,2019-05-04,13
457,2019-0039,2019-05-09,7
458,2019-0040,2019-05-09,7
459,2019-0041,2019-05-11,9
460,2019-0042,2019-05-14,1
461,2019-0043,2019-05-21,1
462,2019-0044,2019-05-27,5
463,2019-0045,2019-06-03,14
464,2019-0046,2019-06-04,13
465,2019-0047,2019-06-06,4
466,2019-0048,2019-06-07,6
467,2019-0049,2019-06-08,13
468,2019-0050,2019-06-08,14
469,2019-0051,2019-06-11,4
470,2019-0053,2019-06-14,8
471,2019-0054,2019-06-20,15
472,2019-0055,2019-06-20,1
473,2019-0056,2019-06-29,7
474,2019-0057,2019-07-05,13
475,2019-0058,2019-07-10,10
476,2019-0059,2019-07-13,1
477,2019-0060,2019-07-17,10
478,2019-0061,2019-07-17,13
479,2019-0062,2019-08-01,13
480,2019-0063,2019-08-04,15
481,2019-0064,2019-08-06,7
482,2019-0065,2019-08-08,4
483,2019-0066,2019-08-11,7
484,2019-0067,2019-08-14,10
485,2019-0068,2019-08-14,8
486,2019-0069,2019-08-17,4
487,2019-0070,2019-08-22,14
488,2019-0071,2019-08-27,9
489,2019-0072,2019-08-28,10
490,2019-0073,2019-08-29,15
491,2019-0074,2019-08-29,13
492,2019-0075,2019-08-30,4
493,2019-0076,2019-09-05,4
494,2019-0077,2019-09-08,14
495,2019-0078,2019-09-12,4
496,2019-0079,2019-09-17,5
497,2019-0080,2019-09-17,13
498,2019-0081,2019-09-23,15
499,2019-0082,2019-09-25,8
500,2019-0083,2019-09-26,9
501,2019-0084,2019-09-27,7
502,2019-0085,2019-10-09,10
503,2019-0086,2019-10-15,15
504,2019-0087,2019-10-21,12
505,2019-0088,2019-10-22,4
506,2019-0089,2019-10-23,4
507,2019-0090,2019-10-24,9
508,2019-0091,2019-11-01,15
509,2019-0092,2019-11-03,4
510,2019-0093,2019-11-13,11
511,2019-0094,2019-11-18,15
512,2019-0095,2019-11-20,1
513,2019-0096,2019-11-22,1
514,2019-0097,2019-11-25,9
515,2019-0098,2019-11-25,15
516,2019-0100,2019-12-05,12
517,2019-0101,2019-12-17,4
518,2019-0102,2019-12-17,9
519,2019-0103,2019-12-18,11
520,2019-0104,2019-12-21,10
521,2019-0105,2019-05-05,10
522,2020-0001,2020-01-04,15
523,2020-0002,2020-01-05,7
524,2020-0003,2020-01-11,3
525,2020-0004,2020-01-14,1
526,2020-0005,2020-01-14,3
527,2020-0006,2020-01-20,8
528,2020-0007,2020-01-27,1
529,2020-0008,2020-01-30,2
530,2020-0009,2020-02-04,5
531,2020-0010,2020-02-08,1
532,2020-0011,2020-02-12,5
533,2020-0012,2020-02-18,3
534,2020-0013,2020-02-20,15
535,2020-0014,2020-02-27,11
536,2020-0015,2020-02-28,1
537,2020-0016,2020-02-29,1
538,2020-0017,2020-03-05,3
539,2020-0018,2020-03-09,13
540,2020-0019,2020-03-10,5
541,2020-0020,2020-03-13,3
542,2020-0021,2020-03-14,2
543,2020-0022,2020-04-07,9
544,2020-0023,2020-04-09,4
545,2020-0024,2020-04-24,9
546,2020-0025,2020-05-12,3
547,2020-0026,2020-05-17,14
548,2020-0027,2020-05-18,8
549,2020-0028,2020-05-19,15
550,2020-0029,2020-06-10,9
551,2020-0030,2020-06-16,6
552,2020-0031,2020-06-30,9
553,2020-0032,2020-07-10,15
554,2020-0033,2020-07-19,13
555,2020-0034,2020-08-02,3
556,2020-0035,2020-08-04,7
557,2020-0036,2020-08-07,14
558,2020-0037,2020-08-29,8
559,2020-0038,2020-08-30,14
560,2020-0039,2020-09-01,9
561,2020-0040,2020-09-12,2
562,2020-0041,2020-09-28,7
563,2020-0042,2020-09-29,8
564,2020-0043,2020-09-30,1
565,2020-0044,2020-10-05,6
566,2020-0045,2020-10-19,8
567,2020-0046,2020-10-27,11
568,2020-0047,2020-10-27,9
569,2020-0048,2020-10-29,15
570,2020-0049,2020-10-30,1
571,2020-0050,2020-11-01,14
572,2020-0051,2020-11-05,10
573,2020-0052,2020-11-07,3
574,2020-0053,2020-11-09,4
575,2020-0054,2020-11-19,4
576,2020-0055,2020-11-19,12
577,2020-0056,2020-11-21,8
578,2020-0057,2020-11-23,11
579,2020-0058,2020-11-24,10
580,2020-0059,2020-12-01,1
581,2020-0060,2020-12-03,9
582,2020-0061,2020-12-03,13
583,2020-0062,2020-12-04,3
584,2020-0063,2020-12-05,11
585,2020-0065,2020-12-05,12
586,2020-0066,2020-12-07,10
587,2020-0067,2020-12-11,4
588,2020-0068,2020-12-12,2
589,2020-0069,2020-12-15,1
590,2020-0070,2020-12-17,2
591,2020-0071,2020-12-17,7
592,2020-0072,2020-12-19,3
593,2020-0073,2020-12-20,8
594,2020-0074,2020-12-20,7
595,2020-0075,2020-12-23,1
596,2020-0076,2020-12-24,10
597,2020-0077,2020-12-25,15
598,2020-0078,2020-12-25,7
599,2020-0079,2020-12-27,12
600,2021-0001,2021-01-06,1
601,2021-0002,2021-01-07,9
602,2021-0003,2021-01-10,7
603,2021-0004,2021-01-11,5
604,2021-0005,2021-01-11,9
605,2021-0006,2021-01-12,14
606,2021-0007,2021-01-18,15
607,2021-0008,2021-01-22,4
608,2021-0009,2021-01-23,6
609,2021-0010,2021-01-23,12
610,2021-0011,2021-01-27,2
611,2021-0012,2021-01-29,8
612,2021-0013,2021-01-31,10
613,2021-0014,2021-02-02,15
614,2021-0015,2021-02-06,15
615,2021-0016,2021-02-14,8
616,2021-0017,2021-02-17,1
617,2021-0018,2021-02-20,3
618,2021-0019,2021-02-21,12
619,2021-0020,2021-02-21,5
620,2021-0021,2021-02-26,3
621,2021-0022,2021-02-28,13
622,2021-0023,2021-03-01,4
623,2021-0024,2021-03-03,9
624,2021-0025,2021-03-11,8
625,2021-0026,2021-03-15,4
626,2021-0027,2021-03-16,12
627,2021-0028,2021-03-29,7
628,2021-0029,2021-03-31,7
629,2021-0030,2021-04-03,4
630,2021-0031,2021-04-07,1
631,2021-0032,2021-04-10,13
632,2021-0033,2021-04-14,5
633,2021-0034,2021-04-19,4
634,2021-0035,2021-05-03,8
635,2021-0036,2021-05-09,11
636,2021-0037,2021-05-11,13
637,2021-0038,2021-05-14,14
638,2021-0039,2021-05-15,9
639,2021-0040,2021-05-20,13
640,2021-0041,2021-05-20,14
641,2021-0042,2021-05-21,9
642,2021-0043,2021-05-22,9
643,2021-0044,2021-05-25,9
644,2021-0045,2021-05-26,4
645,2021-0046,2021-05-31,15
646,2021-0047,2021-06-02,4
647,2021-0048,2021-06-03,12
648,2021-0049,2021-06-03,8
649,2021-0050,2021-06-10,13
650,2021-0051,2021-06-15,4
651,2021-0052,2021-06-20,8
652,2021-0053,2021-06-20,15
653,2021-0054,2021-06-22,4
654,2021-0055,2021-06-29,3
655,2021-0056,2021-07-09,4
656,2021-0057,2021-07-10,2
657,2021-0058,2021-07-21,12
658,2021-0059,2021-07-22,3
659,2021-0060,2021-07-22,5
660,2021-0061,2021-07-24,4
661,2021-0062,2021-07-27,4
662,2021-0063,2021-08-02,7
663,2021-0064,2021-08-02,9
664,2021-0065,2021-08-06,6
665,2021-0066,2021-08-06,11
666,2021-0067,2021-08-08,1
667,2021-0068,2021-08-15,11
668,2021-0069,2021-08-20,14
669,2021-0070,2021-08-28,8
670,2021-0071,2021-08-31,3
671,2021-0072,2021-09-01,2
672,2021-0073,2021-09-18,2
673,2021-0074,2021-09-20,12
674,2021-0075,2021-09-21,1
675,2021-0076,2021-10-16,7
676,2021-0077,2021-10-18,6
677,2021-0078,2021-10-23,6
678,2021-0079,2021-10-25,3
679,2021-0080,2021-10-28,1
680,2021-0081,2021-11-02,4
681,2021-0082,2021-11-06,3
682,2021-0083,2021-11-09,13
683,2021-0084,2021-11-11,9
684,2021-0085,2021-11-20,12
685,2021-0086,2021-11-25,6
686,2021-0087,2021-11-27,1
687,2021-0088,2021-12-01,13
688,2021-0089,2021-12-02,11
689,2021-0090,2021-12-10,1
690,2021-0091,2021-12-11,10
691,2021-0092,2021-12-12,3
692,2021-0093,2021-12-13,7
693,2021-0094,2021-12-20,9
694,2021-0095,2021-12-30,11
695,2021-0096,2021-12-15,9
696,2021-0097,2021-11-18,1
