ID_HECHO,FECHA,ACUSADO,VICTIMA
2017-0084,2017-07-05,PASAJEROS,PEATON
2017-0085,2017-07-07,PASAJEROS,PEATON
2017-0086,2017-07-09,MOTO,PEATON
2017-0087,2017-07-10,AUTO,PEATON
2017-0088,2017-07-10,PASAJEROS,PEATON
2017-0089,2017-07-13,AUTO,
2017-0090,2017-07-15,AUTO,PEATON
2017-0091,2017-07-15,,MOTO
2017-0092,2017-07-24,AUTO,PEATON
2017-0093,2017-07-25,AUTO,PEATON
2017-0094,2017-07-27,CARGAS,BICICLETA
2017-0095,2017-08-06,AUTO,MOTO
2017-0096,2017-08-07,PASAJEROS,PEATON
2017-0098,2017-08-08,AUTO,PEATON
2017-0099,2017-08-17,AUTO,BICICLETA
2017-0100,2017-08-21,OBJETO FIJO,MOTO
2017-0101,2017-08-23,MULTIPLE,PEATON
2017-0102,2017-08-24,CARGAS,PEATON
2017-0104,2017-08-25,CARGAS,PEATON
2017-0106,2017-08-31,PASAJEROS,PEATON
2017-0107,2017-09-01,CARGAS,MOTO
2017-0108,2017-09-02,AUTO,AUTO
2017-0108,2017-09-02,AUTO,AUTO
2017-0109,2017-09-04,AUTO,MOTO
2017-0110,2017-09-06,PASAJEROS,PEATON
2017-0111,2017-09-07,CARGAS,PEATON
2017-0112,2017-09-10,OBJETO FIJO,AUTO
2017-0112,2017-09-10,OBJETO FIJO,AUTO
2017-0113,2017-09-11,PASAJEROS,PEATON
2017-0114,2017-09-15,OBJETO FIJO,AUTO
2017-0115,2017-09-19,BICICLETA,MOTO
2017-0116,2017-09-20,OBJETO FIJO,MOTO
2017-0118,2017-09-22,AUTO,MOTO
2017-0120,2017-10-02,CARGAS,MOTO
2017-0123,2017-10-10,AUTO,PEATON
2017-0124,2017-10-12,PASAJEROS,MOTO
2017-0125,2017-10-13,OBJETO FIJO,MOTO
2017-0126,2017-10-14,OBJETO FIJO,AUTO
2017-0126,2017-10-14,OBJETO FIJO,AUTO
2017-0127,2017-10-16,MOTO,MOTO
2017-0128,2017-10-17,PASAJEROS,PEATON
2017-0129,2017-10-26,PASAJEROS,MOTO
2017-0130,2017-10-27,CARGAS,AUTO
2017-0132,2017-10-30,PASAJEROS,MOTO
2017-0134,2017-11-06,PASAJEROS,PEATON
2017-0135,2017-11-07,CARGAS,MOTO
2017-0136,2017-11-16,PASAJEROS,PEATON
2017-0137,2017-11-17,CARGAS,PEATON
2017-0138,2017-11-19,OBJETO FIJO,MOTO
2017-0139,2017-11-19,OBJETO FIJO,AUTO
2017-0140,2017-11-19,PASAJEROS,MOTO
2017-0141,2017-11-23,PASAJEROS,PEATON
2017-0143,2017-11-25,PASAJEROS,AUTO
2017-0144,2017-11-26,OBJETO FIJO,AUTO
2017-0145,2017-11-26,AUTO,MOTO
2017-0147,2017-11-28,AUTO,MOTO
2017-0148,2017-11-29,PASAJEROS,PEATON
2017-0149,2017-11-30,PASAJEROS,PEATON
2017-0150,2017-12-04,AUTO,PEATON
2017-0151,2017-12-04,PASAJEROS,PEATON
2017-0152,2017-12-06,PASAJEROS,BICICLETA
2017-0153,2017-12-11,PASAJEROS,MOTO
2017-0153,2017-12-11,PASAJEROS,MOTO
2017-0154,2017-12-11,PASAJEROS,PEATON
2017-0155,2017-12-12,MOTO,
2017-0157,2017-12-17,PASAJEROS,AUTO
2017-0158,2017-12-18,AUTO,MOTO
2017-0159,2017-12-20,AUTO,MOTO
2017-0160,2017-12-22,MOTO,PEATON
2017-0161,2017-12-26,AUTO,PEATON
2018-0001,2018-01-01,MOTO,PEATON
2018-0002,2018-01-03,PASAJEROS,BICICLETA
2018-0003,2018-01-05,MULTIPLE,PEATON
2018-0004,2018-01-09,MULTIPLE,MOTO
2018-0005,2018-01-09,PASAJEROS,PEATON
2018-0006,2018-01-10,PASAJEROS,BICICLETA
2018-0007,2018-01-11,AUTO,AUTO
2018-0008,2018-01-12,CARGAS,MOTO
2018-0009,2018-01-14,MOTO,MOTO
2018-0010,2018-01-18,CARGAS,MOTO
2018-0011,2018-01-19,PASAJEROS,PEATON
2018-0012,2018-01-26,PASAJEROS,MOTO
2018-0013,2018-01-28,AUTO,MOTO
2018-0014,2018-01-31,MOTO,PEATON
