ID,ID_HECHO,FECHA,ACUSADO
132,2016-0164,2016-12-11,AUTO
133,2016-0165,2016-12-12,PASAJEROS
134,2016-0168,2016-12-13,AUTO
135,2016-0169,2016-12-15,PASAJEROS
136,2016-0170,2016-12-19,AUTO
137,2016-0171,2016-12-25,MOTO
138,2016-0172,2016-12-26,CARGAS
139,2016-0173,2016-12-26,CARGAS
140,2016-0174,2016-12-27,
141,2016-0175,2016-12-27,BICICLETA
142,2016-0176,2016-12-28,PASAJEROS
143,2016-0177,2016-12-29,AUTO
144,2016-0178,2016-12-30,MULTIPLE
145,2017-0001,2017-01-02,CARGAS
146,2017-0003,2017-01-05,CARGAS
147,2017-0007,2017-01-11,MULTIPLE
148,2017-0008,2017-01-16,PASAJEROS
149,2017-0009,2017-01-16,CARGAS
150,2017-0010,2017-01-16,AUTO
151,2017-0011,2017-01-22,OBJETO FIJO
152,2017-0012,2017-01-24,CARGAS
153,2017-0013,2017-01-27,CARGAS
154,2017-0014,2017-01-28,MULTIPLE
155,2017-0015,2017-02-02,AUTO
156,2017-0016,2017-02-03,CARGAS
157,2017-0017,2017-02-06,AUTO
158,2017-0018,2017-02-09,AUTO
159,2017-0021,2017-02-18,PASAJEROS
160,2017-0024,2017-02-23,PASAJEROS
161,2017-0025,2017-02-24,
162,2017-0026,2017-02-26,OBJETO FIJO
163,2017-0027,2017-02-26,AUTO
164,2017-0028,2017-02-28,AUTO
165,2017-0029,2017-03-07,AUTO
166,2017-0030,2017-03-07,PASAJEROS
167,2017-0031,2017-03-11,OBJETO FIJO
168,2017-0032,2017-03-12,AUTO
169,2017-0033,2017-03-12,AUTO
170,2017-0034,2017-03-13,AUTO
171,2017-0035,2017-03-23,OBJETO FIJO
172,2017-0036,2017-03-29,PASAJEROS
173,2017-0037,2017-03-31,CARGAS
174,2017-0038,2017-04-01,AUTO
175,2017-0040,2017-04-03,MULTIPLE
176,2017-0041,2017-04-03,AUTO
177,2017-0042,2017-04-10,CARGAS
178,2017-0045,2017-04-14,OBJETO FIJO
179,2017-0047,2017-04-23,AUTO
180,2017-0049,2017-04-27,PASAJEROS
181,2017-0050,2017-04-28,CARGAS
182,2017-0051,2017-05-01,AUTO
183,2017-0052,2017-05-05,CARGAS
184,2017-0053,2017-05-05,CARGAS
185,2017-0054,2017-05-07,AUTO
186,2017-0055,2017-05-09,AUTO
187,2017-0058,2017-05-09,MOTO
188,2017-0059,2017-05-11,PASAJEROS
189,2017-0060,2017-05-13,OBJETO FIJO
190,2017-0061,2017-05-15,MOTO
191,2017-0062,2017-05-15,CARGAS
192,2017-0063,2017-05-17,PASAJEROS
193,2017-0064,2017-05-20,AUTO
194,2017-0065,2017-05-22,CARGAS
195,2017-0066,2017-05-22,PASAJEROS
196,2017-0067,2017-05-23,CARGAS
197,2017-0068,2017-05-27,OBJETO FIJO
198,2017-0069,2017-05-24,
199,2017-0070,2017-05-30,AUTO
200,2017-0072,2017-06-03,AUTO
201,2017-0073,2017-06-04,AUTO
202,2017-0074,2017-06-04,
203,2017-0075,2017-06-12,MOTO
204,2017-0076,2017-06-13,CARGAS
205,2017-0077,2017-06-17,CARGAS
206,2017-0079,2017-06-19,CARGAS
207,2017-0080,2017-06-22,CARGAS
208,2017-0082,2017-06-25,AUTO
209,2017-0083,2017-07-04,CARGAS
210,2017-0084,2017-07-05,PASAJEROS
211,2017-0085,2017-07-07,PASAJEROS
212,2017-0086,2017-07-09,MOTO
213,2017-0087,2017-07-10,AUTO
214,2017-0088,2017-07-10,PASAJEROS
215,2017-0089,2017-07-13,AUTO
216,2017-0090,2017-07-15,AUTO
217,2017-0091,2017-07-15,
218,2017-0092,2017-07-24,AUTO
219,2017-0093,2017-07-25,AUTO
220,2017-0094,2017-07-27,CARGAS
221,2017-0095,2017-08-06,AUTO
222,2017-0096,2017-08-07,PASAJEROS
223,2017-0098,2017-08-08,AUTO
224,2017-0099,2017-08-17,AUTO
225,2017-0100,2017-08-21,OBJETO FIJO
226,2017-0101,2017-08-23,MULTIPLE
227,2017-0102,2017-08-24,CARGAS
228,2017-0104,2017-08-25,CARGAS
229,2017-0106,2017-08-31,PASAJEROS
230,2017-0107,2017-09-01,CARGAS
231,2017-0108,2017-09-02,AUTO
232,2017-0109,2017-09-04,AUTO
233,2017-0110,2017-09-06,PASAJEROS
234,2017-0111,2017-09-07,CARGAS
235,2017-0112,2017-09-10,OBJETO FIJO
236,2017-0113,2017-09-11,PASAJEROS
237,2017-0114,2017-09-15,OBJETO FIJO
238,2017-0115,2017-09-19,BICICLETA
239,2017-0116,2017-09-20,OBJETO FIJO
240,2017-0118,2017-09-22,AUTO
241,2017-0120,2017-10-02,CARGAS
242,2017-0123,2017-10-10,AUTO
243,2017-0124,2017-10-12,PASAJEROS
244,2017-0125,2017-10-13,OBJETO FIJO
245,2017-0126,2017-10-14,OBJETO FIJO
246,2017-0127,2017-10-16,MOTO
247,2017-0128,2017-10-17,PASAJEROS
248,2017-0129,2017-10-26,PASAJEROS
249,2017-0130,2017-10-27,CARGAS
250,2017-0132,2017-10-30,PASAJEROS
251,2017-0134,2017-11-06,PASAJEROS
252,2017-0135,2017-11-07,CARGAS
253,2017-0136,2017-11-16,PASAJEROS
254,2017-0137,2017-11-17,CARGAS
255,2017-0138,2017-11-19,OBJETO FIJO
256,2017-0139,2017-11-19,OBJETO FIJO
257,2017-0140,2017-11-19,PASAJEROS
258,2017-0141,2017-11-23,PASAJEROS
259,2017-0143,2017-11-25,PASAJEROS
260,2017-0144,2017-11-26,OBJETO FIJO
261,2017-0145,2017-11-26,AUTO
262,2017-0147,2017-11-28,AUTO
263,2017-0148,2017-11-29,PASAJEROS
264,2017-0149,2017-11-30,PASAJEROS
265,2017-0150,2017-12-04,AUTO
266,2017-0151,2017-12-04,PASAJEROS
267,2017-0152,2017-12-06,PASAJEROS
268,2017-0153,2017-12-11,PASAJEROS
269,2017-0154,2017-12-11,PASAJEROS
270,2017-0155,2017-12-12,MOTO
271,2017-0157,2017-12-17,PASAJEROS
272,2017-0158,2017-12-18,AUTO
273,2017-0159,2017-12-20,AUTO
274,2017-0160,2017-12-22,MOTO
275,2017-0161,2017-12-26,AUTO
276,2018-0001,2018-01-01,MOTO
277,2018-0002,2018-01-03,PASAJEROS
278,2018-0003,2018-01-05,MULTIPLE
279,2018-0004,2018-01-09,MULTIPLE
280,2018-0005,2018-01-09,PASAJEROS
281,2018-0006,2018-01-10,PASAJEROS
282,2018-0007,2018-01-11,AUTO
283,2018-0008,2018-01-12,CARGAS
284,2018-0009,2018-01-14,MOTO
285,2018-0010,2018-01-18,CARGAS
286,2018-0011,2018-01-19,PASAJEROS
287,2018-0012,2018-01-26,PASAJEROS
288,2018-0013,2018-01-28,AUTO
289,2018-0014,2018-01-31,MOTO
290,2018-0015,2018-02-06,PASAJEROS
291,2018-0016,2018-02-15,CARGAS
292,2018-0017,2018-02-17,AUTO
293,2018-0018,2018-02-17,CARGAS
294,2018-0019,2018-02-17,PASAJEROS
295,2018-0020,2018-02-19,CARGAS
296,2018-0021,2018-02-22,PASAJEROS
297,2018-0022,2018-02-24,CARGAS
298,2018-0023,2018-02-24,AUTO
299,2018-0024,2018-02-28,CARGAS
300,2018-0025,2018-03-04,AUTO
301,2018-0026,2018-03-09,CARGAS
302,2018-0027,2018-03-11,MOTO
303,2018-0028,2018-03-13,CARGAS
304,2018-0029,2018-03-15,AUTO
305,2018-0030,2018-03-20,MOTO
306,2018-0031,2018-03-28,CARGAS
307,2018-0032,2018-04-02,PASAJEROS
308,2018-0033,2018-04-07,CARGAS
309,2018-0034,2018-04-11,PASAJEROS
310,2018-0035,2018-04-12,PASAJEROS
311,2018-0036,2018-04-13,AUTO
312,2018-0037,2018-04-18,CARGAS
313,2018-0038,2018-04-20,AUTO
314,2018-0039,2018-04-21,AUTO
315,2018-0040,2018-04-27,CARGAS
316,2018-0041,2018-04-27,PASAJEROS
317,2018-0042,2018-04-27,CARGAS
318,2018-0043,2018-04-28,AUTO
319,2018-0044,2018-04-28,AUTO
320,2018-0045,2018-04-30,CARGAS
321,2018-0046,2018-05-02,AUTO
322,2018-0047,2018-05-08,PASAJEROS
323,2018-0048,2018-05-09,PASAJEROS
324,2018-0049,2018-05-11,AUTO
325,2018-0050,2018-05-14,PASAJEROS
326,2018-0051,2018-05-15,AUTO
327,2018-0052,2018-05-18,PASAJEROS
328,2018-0053,2018-05-20,AUTO
329,2018-0054,2018-05-22,BICICLETA
330,2018-0055,2018-05-29,AUTO
331,2018-0056,2018-06-02,PASAJEROS
332,2018-0057,2018-06-03,PASAJEROS
333,2018-0058,2018-06-03,AUTO
334,2018-0059,2018-06-08,OTRO
335,2018-0060,2018-06-08,PASAJEROS
336,2018-0061,2018-06-10,MOTO
337,2018-0062,2018-06-14,CARGAS
338,2018-0063,2018-06-16,PASAJEROS
339,2018-0064,2018-06-25,CARGAS
340,2018-0065,2018-06-26,CARGAS
341,2018-0066,2018-06-28,PASAJEROS
342,2018-0067,2018-06-29,AUTO
343,2018-0068,2018-07-01,AUTO
344,2018-0069,2018-07-04,PASAJEROS
345,2018-0070,2018-07-07,PASAJEROS
346,2018-0071,2018-07-10,CARGAS
347,2018-0072,2018-07-11,CARGAS
348,2018-0073,2018-07-11,CARGAS
349,2018-0074,2018-07-14,CARGAS
350,2018-0075,2018-07-15,AUTO
351,2018-0076,2018-07-16,CARGAS
352,2018-0077,2018-07-16,CARGAS
353,2018-0078,2018-07-21,AUTO
354,2018-0079,2018-07-23,CARGAS
355,2018-0080,2018-07-25,AUTO
356,2018-0081,2018-07-29,MULTIPLE
357,2018-0082,2018-08-01,CARGAS
358,2018-0083,2018-08-02,CARGAS
359,2018-0084,2018-08-03,CARGAS
360,2018-0085,2018-08-03,PASAJEROS
361,2018-0086,2018-08-10,PASAJEROS
362,2018-0087,2018-08-15,PASAJEROS
363,2018-0088,2018-08-17,CARGAS
364,2018-0089,2018-08-17,PASAJEROS
365,2018-0090,2018-08-18,AUTO
366,2018-0091,2018-08-19,AUTO
367,2018-0092,2018-08-20,AUTO
368,2018-0093,2018-08-20,PASAJEROS
369,2018-0094,2018-08-23,PASAJEROS
370,2018-0095,2018-08-26,AUTO
371,2018-0096,2018-08-31,AUTO
372,2018-0097,2018-09-02,OTRO
373,2018-0098,2018-09-09,AUTO
374,2018-0099,2018-09-12,PASAJEROS
375,2018-0100,2018-09-20,AUTO
376,2018-0101,2018-09-21,MULTIPLE
377,2018-0102,2018-09-21,AUTO
378,2018-0103,2018-09-27,MOTO
379,2018-0104,2018-10-01,MOTO
380,2018-0105,2018-10-03,PASAJEROS
381,2018-0106,2018-10-04,MOTO
382,2018-0107,2018-10-06,PASAJEROS
383,2018-0108,2018-10-09,AUTO
384,2018-0109,2018-10-10,PASAJEROS
385,2018-0110,2018-10-13,MOTO
386,2018-0111,2018-10-19,CARGAS
387,2018-0112,2018-10-24,CARGAS
388,2018-0113,2018-10-25,CARGAS
389,2018-0114,2018-10-30,AUTO
390,2018-0115,2018-10-31,PASAJEROS
391,2018-0116,2018-11-01,CARGAS
392,2018-0117,2018-11-04,MOTO
393,2018-0118,2018-11-05,MOTO
394,2018-0119,2018-11-05,
395,2018-0120,2018-11-09,AUTO
396,2018-0121,2018-11-09,PASAJEROS
397,2018-0122,2018-11-12,AUTO
398,2018-0123,2018-11-12,
399,2018-0124,2018-11-15,CARGAS
400,2018-0125,2018-11-16,PASAJEROS
401,2018-0126,2018-11-18,AUTO
402,2018-0127,2018-11-19,MOTO
403,2018-0128,2018-11-25,PASAJEROS
404,2018-0129,2018-11-28,PASAJEROS
405,2018-0130,2018-12-03,PASAJEROS
406,2018-0131,2018-12-07,CARGAS
407,2018-0132,2018-12-12,CARGAS
408,2018-0133,2018-12-12,CARGAS
409,2018-0134,2018-12-12,MOTO
410,2018-0135,2018-12-18,PASAJEROS
411,2018-0136,2018-12-18,PASAJEROS
412,2018-0137,2018-12-18,PASAJEROS
413,2018-0138,2018-12-21,PASAJEROS
414,2018-0139,2018-12-22,MOTO
415,2018-0140,2018-12-22,AUTO
416,2018-0141,2018-12-22,MOTO
417,2018-0142,2018-12-25,PASAJEROS
418,2018-0143,2018-12-29,AUTO
419,2019-0001,2019-01-08,CARGAS
420,2019-0002,2019-01-09,CARGAS
421,2019-0003,2019-01-12,AUTO
422,2019-0004,2019-01-14,PASAJEROS
423,2019-0005,2019-01-19,CARGAS
424,2019-0006,2019-01-23,AUTO
425,2019-0007,2019-01-26,AUTO
426,2019-0008,2019-01-30,MULTIPLE
427,2019-0009,2019-01-31,AUTO
428,2019-0010,2019-02-02,AUTO
429,2019-0011,2019-02-10,AUTO
430,2019-0012,2019-02-17,AUTO
431,2019-0013,2019-02-20,AUTO
432,2019-0014,2019-02-20,OBJETO FIJO
433,2019-0015,2019-02-23,OBJETO FIJO
434,2019-0016,2019-02-24,PASAJEROS
435,2019-0017,2019-03-03,PASAJEROS
436,2019-0018,2019-03-03,AUTO
437,2019-0019,2019-03-06,AUTO
438,2019-0020,2019-03-07,AUTO
439,2019-0021,2019-03-15,AUTO
440,2019-0022,2019-03-15,
441,2019-0023,2019-03-16,OBJETO FIJO
442,2019-0024,2019-03-19,CARGAS
443,2019-0025,2019-03-22,AUTO
444,2019-0026,2019-03-28,PASAJEROS
445,2019-0027,2019-03-28,MULTIPLE
446,2019-0028,2019-04-06,PASAJEROS
447,2019-0029,2019-04-07,OBJETO FIJO
448,2019-0030,2019-04-09,CARGAS
449,2019-0031,2019-04-12,CARGAS
450,2019-0032,2019-04-16,AUTO
451,2019-0033,2019-04-18,
452,2019-0034,2019-04-21,OBJETO FIJO
453,2019-0035,2019-04-23,BICICLETA
454,2019-0036,2019-04-26,AUTO
455,2019-0037,2019-05-01,AUTO
456,2019-0038,2019-05-04,MOTO
457,2019-0039,2019-05-09,AUTO
458,2019-0040,2019-05-09,
