ID,ID_HECHO,AAAA,ACUSADO
491,2019-0074,2019,CARGAS
492,2019-0075,2019,PASAJEROS
493,2019-0076,2019,CARGAS
494,2019-0077,2019,AUTO
495,2019-0078,2019,CARGAS
496,2019-0079,2019,PASAJEROS
497,2019-0080,2019,MOTO
498,2019-0081,2019,PASAJEROS
499,2019-0082,2019,CARGAS
500,2019-0083,2019,AUTO
501,2019-0084,2019,CARGAS
502,2019-0085,2019,TREN
503,2019-0086,2019,PASAJEROS
504,2019-0087,2019,MOTO
505,2019-0088,2019,PASAJEROS
506,2019-0089,2019,CARGAS
507,2019-0090,2019,MOTO
508,2019-0091,2019,PASAJEROS
509,2019-0092,2019,PASAJEROS
510,2019-0093,2019,OTRO
511,2019-0094,2019,OTRO
512,2019-0095,2019,CARGAS
513,2019-0096,2019,PASAJEROS
514,2019-0097,2019,MULTIPLE
515,2019-0098,2019,PASAJEROS
516,2019-0100,2019,AUTO
517,2019-0101,2019,MOTO
518,2019-0102,2019,AUTO
519,2019-0103,2019,MOTO
520,2019-0104,2019,AUTO
521,2019-0105,2019,AUTO
522,2020-0001,2020,AUTO
523,2020-0002,2020,OBJETO FIJO
524,2020-0003,2020,AUTO
525,2020-0004,2020,PASAJEROS
526,2020-0005,2020,PASAJEROS
527,2020-0006,2020,CARGAS
528,2020-0007,2020,MOTO
529,2020-0008,2020,CARGAS
530,2020-0009,2020,AUTO
531,2020-0010,2020,OBJETO FIJO
532,2020-0011,2020,CARGAS
533,2020-0012,2020,MOTO
534,2020-0013,2020,MOTO
535,2020-0014,2020,PASAJEROS
536,2020-0015,2020,PASAJEROS
537,2020-0016,2020,PASAJEROS
538,2020-0017,2020,AUTO
539,2020-0018,2020,OBJETO FIJO
540,2020-0019,2020,AUTO
541,2020-0020,2020,MOTO
542,2020-0021,2020,AUTO
543,2020-0022,2020,CARGAS
544,2020-0023,2020,CARGAS
545,2020-0024,2020,AUTO
546,2020-0025,2020,AUTO
547,2020-0026,2020,OBJETO FIJO
548,2020-0027,2020,CARGAS
549,2020-0028,2020,PASAJEROS
550,2020-0029,2020,PASAJEROS
551,2020-0030,2020,MULTIPLE
552,2020-0031,2020,CARGAS
553,2020-0032,2020,AUTO
554,2020-0033,2020,OBJETO FIJO
555,2020-0034,2020,AUTO
556,2020-0035,2020,PASAJEROS
557,2020-0036,2020,MOTO
558,2020-0037,2020,AUTO
559,2020-0038,2020,AUTO
560,2020-0039,2020,CARGAS
561,2020-0040,2020,OBJETO FIJO
562,2020-0041,2020,PASAJEROS
563,2020-0042,2020,PASAJEROS
564,2020-0043,2020,PASAJEROS
565,2020-0044,2020,AUTO
566,2020-0045,2020,CARGAS
567,2020-0046,2020,MOTO
568,2020-0047,2020,CARGAS
569,2020-0048,2020,OBJETO FIJO
570,2020-0049,2020,AUTO
571,2020-0050,2020,MOTO
572,2020-0051,2020,AUTO
573,2020-0052,2020,CARGAS
574,2020-0053,2020,AUTO
575,2020-0054,2020,AUTO
576,2020-0055,2020,CARGAS
577,2020-0056,2020,CARGAS
578,2020-0057,2020,AUTO
579,2020-0058,2020,AUTO
580,2020-0059,2020,PASAJEROS
581,2020-0060,2020,MOTO
582,2020-0061,2020,CARGAS
583,2020-0062,2020,PASAJEROS
584,2020-0063,2020,MOTO
585,2020-0065,2020,AUTO
586,2020-0066,2020,OBJETO FIJO
587,2020-0067,2020,PASAJEROS
588,2020-0068,2020,AUTO
589,2020-0069,2020,PASAJEROS
590,2020-0070,2020,PASAJEROS
591,2020-0071,2020,AUTO
592,2020-0072,2020,AUTO
593,2020-0073,2020,OBJETO FIJO
594,2020-0074,2020,AUTO
595,2020-0075,2020,PASAJEROS
596,2020-0076,2020,PASAJEROS
597,2020-0077,2020,AUTO
598,2020-0078,2020,PASAJEROS
599,2020-0079,2020,OBJETO FIJO
600,2021-0001,2021,AUTO
601,2021-0002,2021,CARGAS
602,2021-0003,2021,OBJETO FIJO
603,2021-0004,2021,CARGAS
604,2021-0005,2021,AUTO
605,2021-0006,2021,CARGAS
606,2021-0007,2021,MOTO
607,2021-0008,2021,PASAJEROS
608,2021-0009,2021,OBJETO FIJO
609,2021-0010,2021,AUTO
610,2021-0011,2021,AUTO
611,2021-0012,2021,AUTO
612,2021-0013,2021,OBJETO FIJO
613,2021-0014,2021,AUTO
614,2021-0015,2021,OBJETO FIJO
615,2021-0016,2021,OBJETO FIJO
616,2021-0017,2021,PASAJEROS
617,2021-0018,2021,AUTO
618,2021-0019,2021,OBJETO FIJO
619,2021-0020,2021,CARGAS
620,2021-0021,2021,OBJETO FIJO
621,2021-0022,2021,
622,2021-0023,2021,CARGAS
623,2021-0024,2021,CARGAS
624,2021-0025,2021,OTRO
625,2021-0026,2021,OBJETO FIJO
626,2021-0027,2021,CARGAS
627,2021-0028,2021,PASAJEROS
628,2021-0029,2021,AUTO
629,2021-0030,2021,PASAJEROS
630,2021-0031,2021,CARGAS
631,2021-0032,2021,MOTO
632,2021-0033,2021,OBJETO FIJO
633,2021-0034,2021,CARGAS
634,2021-0035,2021,CARGAS
635,2021-0036,2021,OBJETO FIJO
636,2021-0037,2021,PASAJEROS
637,2021-0038,2021,CARGAS
638,2021-0039,2021,AUTO
639,2021-0040,2021,AUTO
640,2021-0041,2021,PASAJEROS
641,2021-0042,2021,PASAJEROS
642,2021-0043,2021,AUTO
643,2021-0044,2021,OBJETO FIJO
644,2021-0045,2021,MULTIPLE
645,2021-0046,2021,OBJETO FIJO
646,2021-0047,2021,AUTO
647,2021-0048,2021,AUTO
648,2021-0049,2021,AUTO
649,2021-0050,2021,PASAJEROS
650,2021-0051,2021,CARGAS
651,2021-0052,2021,OBJETO FIJO
652,2021-0053,2021,BICICLETA
653,2021-0054,2021,CARGAS
654,2021-0055,2021,CARGAS
655,2021-0056,2021,AUTO
656,2021-0057,2021,OBJETO FIJO
657,2021-0058,2021,AUTO
658,2021-0059,2021,OBJETO FIJO
659,2021-0060,2021,PASAJEROS
660,2021-0061,2021,CARGAS
661,2021-0062,2021,CARGAS
662,2021-0063,2021,AUTO
663,2021-0064,2021,CARGAS
664,2021-0065,2021,PASAJEROS
665,2021-0066,2021,PASAJEROS
666,2021-0067,2021,OBJETO FIJO
667,2021-0068,2021,OBJETO FIJO
668,2021-0069,2021,AUTO
669,2021-0070,2021,CARGAS
670,2021-0071,2021,MOTO
671,2021-0072,2021,AUTO
672,2021-0073,2021,AUTO
673,2021-0074,2021,MULTIPLE
674,2021-0075,2021,CARGAS
675,2021-0076,2021,OBJETO FIJO
676,2021-0077,2021,CARGAS
677,2021-0078,2021,PASAJEROS
678,2021-0079,2021,AUTO
679,2021-0080,2021,AUTO
680,2021-0081,2021,CARGAS
681,2021-0082,2021,AUTO
682,2021-0083,2021,AUTO
683,2021-0084,2021,OBJETO FIJO
684,2021-0085,2021,OBJETO FIJO
685,2021-0086,2021,PASAJEROS
686,2021-0087,2021,BICICLETA
687,2021-0088,2021,AUTO
688,2021-0089,2021,AUTO
689,2021-0090,2021,PASAJEROS
690,2021-0091,2021,AUTO
691,2021-0092,2021,AUTO
692,2021-0093,2021,AUTO
693,2021-0094,2021,AUTO
694,2021-0095,2021,CARGAS
695,2021-0096,2021,CARGAS
696,2021-0097,2021,AUTO
